Scanning B:\Local AI ...
[1000 sentences | 1 files | 10s] avg_loss=1.5726 stats={'training_steps': 94000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5006, 'last_loss': np.float64(1.5074), 'approx_perplexity': 4.48}
[42000 sentences | 1 files | 454s] avg_loss=1.4783 stats={'training_steps': 176000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5288, 'last_loss': np.float64(1.7042), 'approx_perplexity': 4.61}
[43000 sentences | 1 files | 466s] avg_loss=1.4402 stats={'training_steps': 178000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5539, 'last_loss': np.float64(1.5569), 'approx_perplexity': 4.73}
[44000 sentences | 1 files | 478s] avg_loss=1.5787 stats={'training_steps': 180000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5115, 'last_loss': np.float64(1.6952), 'approx_perplexity': 4.53}
[45000 sentences | 1 files | 490s] avg_loss=1.5361 stats={'training_steps': 182000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.542, 'last_loss': np.float64(1.771), 'approx_perplexity': 4.67}
[46000 sentences | 1 files | 502s] avg_loss=1.5285 stats={'training_steps': 184000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5388, 'last_loss': np.float64(1.8826), 'approx_perplexity': 4.66}
[47000 sentences | 1 files | 515s] avg_loss=1.5336 stats={'training_steps': 186000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4869, 'last_loss': np.float64(1.7297), 'approx_perplexity': 4.42}
[48000 sentences | 1 files | 528s] avg_loss=1.4445 stats={'training_steps': 188000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.571, 'last_loss': np.float64(1.6666), 'approx_perplexity': 4.81}
[49000 sentences | 1 files | 539s] avg_loss=1.6155 stats={'training_steps': 190000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5132, 'last_loss': np.float64(1.5032), 'approx_perplexity': 4.54}
[50000 sentences | 1 files | 552s] avg_loss=1.5931 stats={'training_steps': 192000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.531, 'last_loss': np.float64(1.5857), 'approx_perplexity': 4.62}
[51000 sentences | 1 files | 566s] avg_loss=1.5993 stats={'training_steps': 194000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5575, 'last_loss': np.float64(1.5627), 'approx_perplexity': 4.75}
[52000 sentences | 1 files | 580s] avg_loss=1.5577 stats={'training_steps': 196000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4439, 'last_loss': np.float64(2.6458), 'approx_perplexity': 4.24}
[53000 sentences | 1 files | 593s] avg_loss=1.4370 stats={'training_steps': 198000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4864, 'last_loss': np.float64(1.3103), 'approx_perplexity': 4.42}
[54000 sentences | 1 files | 606s] avg_loss=1.5110 stats={'training_steps': 200000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5572, 'last_loss': np.float64(1.6859), 'approx_perplexity': 4.75}
[55000 sentences | 1 files | 619s] avg_loss=1.5033 stats={'training_steps': 202000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5365, 'last_loss': np.float64(1.6784), 'approx_perplexity': 4.65}
[56000 sentences | 1 files | 631s] avg_loss=1.4853 stats={'training_steps': 204000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5427, 'last_loss': np.float64(0.7745), 'approx_perplexity': 4.68}
[57000 sentences | 1 files | 643s] avg_loss=1.5031 stats={'training_steps': 206000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6233, 'last_loss': np.float64(1.8936), 'approx_perplexity': 5.07}
[58000 sentences | 1 files | 654s] avg_loss=1.5989 stats={'training_steps': 208000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5917, 'last_loss': np.float64(1.2967), 'approx_perplexity': 4.91}
[59000 sentences | 1 files | 664s] avg_loss=1.5255 stats={'training_steps': 210000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5166, 'last_loss': np.float64(1.7719), 'approx_perplexity': 4.56}
[60000 sentences | 1 files | 673s] avg_loss=1.5224 stats={'training_steps': 212000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5124, 'last_loss': np.float64(1.1971), 'approx_perplexity': 4.54}
[61000 sentences | 1 files | 682s] avg_loss=1.5281 stats={'training_steps': 214000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5032, 'last_loss': np.float64(1.4585), 'approx_perplexity': 4.5}
[62000 sentences | 1 files | 692s] avg_loss=1.4699 stats={'training_steps': 216000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4864, 'last_loss': np.float64(1.3668), 'approx_perplexity': 4.42}
[63000 sentences | 1 files | 702s] avg_loss=1.4476 stats={'training_steps': 218000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4624, 'last_loss': np.float64(1.866), 'approx_perplexity': 4.32}
[64000 sentences | 1 files | 714s] avg_loss=1.4839 stats={'training_steps': 220000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5474, 'last_loss': np.float64(1.6591), 'approx_perplexity': 4.7}
[65000 sentences | 1 files | 726s] avg_loss=1.5393 stats={'training_steps': 222000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5122, 'last_loss': np.float64(1.7667), 'approx_perplexity': 4.54}
[66000 sentences | 1 files | 739s] avg_loss=1.4862 stats={'training_steps': 224000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4691, 'last_loss': np.float64(0.8504), 'approx_perplexity': 4.35}
[67000 sentences | 1 files | 752s] avg_loss=1.5264 stats={'training_steps': 226000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4379, 'last_loss': np.float64(1.7553), 'approx_perplexity': 4.21}
[68000 sentences | 1 files | 764s] avg_loss=1.4830 stats={'training_steps': 228000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4383, 'last_loss': np.float64(1.7542), 'approx_perplexity': 4.21}
[69000 sentences | 1 files | 777s] avg_loss=1.4305 stats={'training_steps': 230000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4103, 'last_loss': np.float64(1.3132), 'approx_perplexity': 4.1}
[70000 sentences | 1 files | 787s] avg_loss=1.4210 stats={'training_steps': 232000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4594, 'last_loss': np.float64(1.8378), 'approx_perplexity': 4.3}
[71000 sentences | 1 files | 799s] avg_loss=1.3970 stats={'training_steps': 234000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.3993, 'last_loss': np.float64(1.1627), 'approx_perplexity': 4.05}
[72000 sentences | 1 files | 810s] avg_loss=1.5473 stats={'training_steps': 236000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5362, 'last_loss': np.float64(1.4541), 'approx_perplexity': 4.65}
[73000 sentences | 1 files | 822s] avg_loss=1.6172 stats={'training_steps': 238000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5424, 'last_loss': np.float64(1.3678), 'approx_perplexity': 4.68}
[74000 sentences | 1 files | 833s] avg_loss=1.5669 stats={'training_steps': 240000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5145, 'last_loss': np.float64(1.584), 'approx_perplexity': 4.55}
[75000 sentences | 1 files | 846s] avg_loss=1.5916 stats={'training_steps': 242000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5829, 'last_loss': np.float64(1.6017), 'approx_perplexity': 4.87}
[76000 sentences | 1 files | 860s] avg_loss=1.5970 stats={'training_steps': 244000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6145, 'last_loss': np.float64(1.843), 'approx_perplexity': 5.03}
[77000 sentences | 1 files | 877s] avg_loss=1.5634 stats={'training_steps': 246000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5816, 'last_loss': np.float64(1.6753), 'approx_perplexity': 4.86}
[78000 sentences | 1 files | 890s] avg_loss=1.5813 stats={'training_steps': 248000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6088, 'last_loss': np.float64(1.6863), 'approx_perplexity': 5.0}
[79000 sentences | 1 files | 904s] avg_loss=1.5518 stats={'training_steps': 250000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6152, 'last_loss': np.float64(1.9816), 'approx_perplexity': 5.03}
[80000 sentences | 1 files | 916s] avg_loss=1.5764 stats={'training_steps': 252000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6174, 'last_loss': np.float64(1.8785), 'approx_perplexity': 5.04}
[81000 sentences | 1 files | 929s] avg_loss=1.5323 stats={'training_steps': 254000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6057, 'last_loss': np.float64(1.7127), 'approx_perplexity': 4.98}
[82000 sentences | 1 files | 939s] avg_loss=1.4894 stats={'training_steps': 256000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.543, 'last_loss': np.float64(1.2452), 'approx_perplexity': 4.68}
[83000 sentences | 1 files | 953s] avg_loss=1.4958 stats={'training_steps': 258000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4286, 'last_loss': np.float64(1.698), 'approx_perplexity': 4.17}
[84000 sentences | 1 files | 967s] avg_loss=1.5021 stats={'training_steps': 260000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5948, 'last_loss': np.float64(1.1387), 'approx_perplexity': 4.93}
[85000 sentences | 1 files | 980s] avg_loss=1.4730 stats={'training_steps': 262000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5145, 'last_loss': np.float64(1.8288), 'approx_perplexity': 4.55}
[86000 sentences | 1 files | 994s] avg_loss=1.4799 stats={'training_steps': 264000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.463, 'last_loss': np.float64(1.5471), 'approx_perplexity': 4.32}
[87000 sentences | 1 files | 1010s] avg_loss=1.5463 stats={'training_steps': 266000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5807, 'last_loss': np.float64(1.3905), 'approx_perplexity': 4.86}
[88000 sentences | 1 files | 1026s] avg_loss=1.5569 stats={'training_steps': 268000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6274, 'last_loss': np.float64(1.5488), 'approx_perplexity': 5.09}
[89000 sentences | 1 files | 1047s] avg_loss=1.5733 stats={'training_steps': 270000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5425, 'last_loss': np.float64(1.3883), 'approx_perplexity': 4.68}
[90000 sentences | 1 files | 1066s] avg_loss=1.5279 stats={'training_steps': 272000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4903, 'last_loss': np.float64(1.5064), 'approx_perplexity': 4.44}
[91000 sentences | 1 files | 1082s] avg_loss=1.5091 stats={'training_steps': 274000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5975, 'last_loss': np.float64(1.5984), 'approx_perplexity': 4.94}
[92000 sentences | 1 files | 1098s] avg_loss=1.5361 stats={'training_steps': 276000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5499, 'last_loss': np.float64(1.4451), 'approx_perplexity': 4.71}
[93000 sentences | 1 files | 1109s] avg_loss=1.5335 stats={'training_steps': 278000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5103, 'last_loss': np.float64(2.0199), 'approx_perplexity': 4.53}
[94000 sentences | 1 files | 1119s] avg_loss=1.5049 stats={'training_steps': 280000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6125, 'last_loss': np.float64(1.5838), 'approx_perplexity': 5.02}
[95000 sentences | 1 files | 1129s] avg_loss=1.4990 stats={'training_steps': 282000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5489, 'last_loss': np.float64(1.3331), 'approx_perplexity': 4.71}
[96000 sentences | 1 files | 1140s] avg_loss=1.4617 stats={'training_steps': 284000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4826, 'last_loss': np.float64(1.6578), 'approx_perplexity': 4.4}
[97000 sentences | 1 files | 1150s] avg_loss=1.4750 stats={'training_steps': 286000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5253, 'last_loss': np.float64(1.2726), 'approx_perplexity': 4.6}
[98000 sentences | 1 files | 1160s] avg_loss=1.5081 stats={'training_steps': 288000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5652, 'last_loss': np.float64(1.5483), 'approx_perplexity': 4.78}
[99000 sentences | 1 files | 1171s] avg_loss=1.5059 stats={'training_steps': 290000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5158, 'last_loss': np.float64(1.3574), 'approx_perplexity': 4.55}
[100000 sentences | 1 files | 1186s] avg_loss=1.4716 stats={'training_steps': 292000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5851, 'last_loss': np.float64(1.3816), 'approx_perplexity': 4.88}
[101000 sentences | 1 files | 1199s] avg_loss=1.5361 stats={'training_steps': 294000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6002, 'last_loss': np.float64(1.6515), 'approx_perplexity': 4.95}
[102000 sentences | 1 files | 1213s] avg_loss=1.5236 stats={'training_steps': 296000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5519, 'last_loss': np.float64(1.8228), 'approx_perplexity': 4.72}
[103000 sentences | 1 files | 1227s] avg_loss=1.5141 stats={'training_steps': 298000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.499, 'last_loss': np.float64(1.8183), 'approx_perplexity': 4.48}
[104000 sentences | 1 files | 1239s] avg_loss=1.4759 stats={'training_steps': 300000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4537, 'last_loss': np.float64(1.4298), 'approx_perplexity': 4.28}
[105000 sentences | 1 files | 1249s] avg_loss=1.5287 stats={'training_steps': 302000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6165, 'last_loss': np.float64(2.0704), 'approx_perplexity': 5.04}
[106000 sentences | 1 files | 1260s] avg_loss=1.5764 stats={'training_steps': 304000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.63, 'last_loss': np.float64(1.7831), 'approx_perplexity': 5.1}
[107000 sentences | 1 files | 1271s] avg_loss=1.4866 stats={'training_steps': 306000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5055, 'last_loss': np.float64(1.8039), 'approx_perplexity': 4.51}
[108000 sentences | 1 files | 1281s] avg_loss=1.5003 stats={'training_steps': 308000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5815, 'last_loss': np.float64(1.3751), 'approx_perplexity': 4.86}
[109000 sentences | 1 files | 1291s] avg_loss=1.4901 stats={'training_steps': 310000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5898, 'last_loss': np.float64(1.3523), 'approx_perplexity': 4.9}
[110000 sentences | 1 files | 1304s] avg_loss=1.5196 stats={'training_steps': 312000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6639, 'last_loss': np.float64(1.3496), 'approx_perplexity': 5.28}
[111000 sentences | 1 files | 1314s] avg_loss=1.5022 stats={'training_steps': 314000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5296, 'last_loss': np.float64(1.7889), 'approx_perplexity': 4.62}
[112000 sentences | 1 files | 1325s] avg_loss=1.5015 stats={'training_steps': 316000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5069, 'last_loss': np.float64(2.0641), 'approx_perplexity': 4.51}
[113000 sentences | 1 files | 1335s] avg_loss=1.5278 stats={'training_steps': 318000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5602, 'last_loss': np.float64(1.6873), 'approx_perplexity': 4.76}
[114000 sentences | 1 files | 1349s] avg_loss=1.6330 stats={'training_steps': 320000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6209, 'last_loss': np.float64(1.3135), 'approx_perplexity': 5.06}
[115000 sentences | 1 files | 1362s] avg_loss=1.6188 stats={'training_steps': 322000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5869, 'last_loss': np.float64(1.2574), 'approx_perplexity': 4.89}
[116000 sentences | 1 files | 1376s] avg_loss=1.5962 stats={'training_steps': 324000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5479, 'last_loss': np.float64(1.44), 'approx_perplexity': 4.7}
[117000 sentences | 1 files | 1391s] avg_loss=1.5853 stats={'training_steps': 326000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5658, 'last_loss': np.float64(1.7234), 'approx_perplexity': 4.79}
[118000 sentences | 1 files | 1401s] avg_loss=1.5266 stats={'training_steps': 328000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6077, 'last_loss': np.float64(1.5501), 'approx_perplexity': 4.99}
[119000 sentences | 1 files | 1411s] avg_loss=1.5248 stats={'training_steps': 330000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5091, 'last_loss': np.float64(1.7729), 'approx_perplexity': 4.52}
[120000 sentences | 1 files | 1421s] avg_loss=1.5316 stats={'training_steps': 332000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5612, 'last_loss': np.float64(1.129), 'approx_perplexity': 4.76}
[121000 sentences | 1 files | 1430s] avg_loss=1.4970 stats={'training_steps': 334000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.508, 'last_loss': np.float64(2.546), 'approx_perplexity': 4.52}
[122000 sentences | 1 files | 1440s] avg_loss=1.4784 stats={'training_steps': 336000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4537, 'last_loss': np.float64(1.2862), 'approx_perplexity': 4.28}
[123000 sentences | 1 files | 1449s] avg_loss=1.4880 stats={'training_steps': 338000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.7485, 'last_loss': np.float64(1.4323), 'approx_perplexity': 5.75}
[124000 sentences | 1 files | 1459s] avg_loss=1.6107 stats={'training_steps': 340000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5949, 'last_loss': np.float64(1.5698), 'approx_perplexity': 4.93}
[125000 sentences | 1 files | 1469s] avg_loss=1.5926 stats={'training_steps': 342000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6241, 'last_loss': np.float64(1.612), 'approx_perplexity': 5.07}
[126000 sentences | 1 files | 1479s] avg_loss=1.5816 stats={'training_steps': 344000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5913, 'last_loss': np.float64(1.2456), 'approx_perplexity': 4.91}
[127000 sentences | 1 files | 1489s] avg_loss=1.5805 stats={'training_steps': 346000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5089, 'last_loss': np.float64(2.2226), 'approx_perplexity': 4.52}
[128000 sentences | 1 files | 1499s] avg_loss=1.4722 stats={'training_steps': 348000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6768, 'last_loss': np.float64(1.6255), 'approx_perplexity': 5.35}
[129000 sentences | 1 files | 1507s] avg_loss=1.5266 stats={'training_steps': 350000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5993, 'last_loss': np.float64(1.704), 'approx_perplexity': 4.95}
[130000 sentences | 1 files | 1514s] avg_loss=1.5219 stats={'training_steps': 352000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.506, 'last_loss': np.float64(1.7941), 'approx_perplexity': 4.51}
